methyl hydrogen carbonate	O=C(O)OC
2-(2-HYDROXY-5-METHOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	O(c3cc(c2nc1cc(ccc1n2)\C(=[NH2+])N)c(O)cc3)C
2-(2-HYDROXY-PHENYL)-1H-INDOLE-5-CARBOXAMIDINE	Oc3ccccc3c2cc1cc(ccc1n2)\C(=[NH2+])N
2'-O-FLUOROETHYL-5-METHYL-URIDINE-5'-MONOPHOSPHATE	O=C1NC(=O)N(C=C1C)C2OC(C(O)C2OCCF)COP(=O)(O)O
2'-O-METHYL-[TRI(OXYETHYL)]-5-METHYL-URIDINE-5'-MONOPHOSPHATE	O=C1NC(=O)N(C=C1C)C2OC(C(O)C2OCCOCCOCCOC)COP(=O)(O)O
2'-O-AMINOOXY-ETHYL-5-METHYL-URIDINE-5'-MONOPHOSPHATE	O=C1NC(=O)N(C=C1C)C2OC(C(O)C2OCCON)COP(=O)(O)O
[2(FORMYL-HYDROXY-AMINO)-ETHYL]-PHOSPHONIC ACID	O=P(O)(O)CCN(O)C=O
2-METHYLTHIO-N6-(AMINOCARBONYL-L-THREONYL)-ADENOSINE-5'-MONOPHOSPHATE	O=C(O)C(NC(=O)Nc3nc(SC)nc1c3ncn1C2OC(C(O)C2O)COP(=O)(O)O)C(O)C
BENZO[CD]INDOL-2(1H)-ONE	O=C3c2cccc1cccc(c12)N3
12-HYDROXYDODECANOIC ACID	O=C(O)CCCCCCCCCCCO
4-(4-METHYLPIPERAZIN-1-YL)QUINAZOLINE	n2c(N1CCN(C)CC1)c3ccccc3nc2
2-iodo-N-[3-(1-methylethoxy)phenyl]benzamide	CC(C)Oc1cccc(NC(=O)c2ccccc2I)c1
(1-methylcyclohexyl)carbamic acid	O=C(O)NC1(CCCCC1)C
(1R,2S,5S)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxylic acid	O=C(O)C1NCC2C1C2(C)C
(2-ETHYLPHENYL)METHANOL	OCc1ccccc1CC
(2R,3S)-3-amino-4-cyclobutyl-2-hydroxybutanoic acid	O=C(O)C(O)C(N)CC1CCC1
DODECAETHYLENE GLYCOL	O(CCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCOCCO
1-METHYLQUINOLIN-2(1H)-ONE	O=C2C=Cc1c(cccc1)N2C
4-(2-phenylhydrazinyl)-1H-pyrazolo[3,4-d]pyrimidine	n1c3c(c(nc1)NNc2ccccc2)cnn3
2-aminobenzene-1,4-dicarboxylic acid	O=C(O)c1cc(N)c(C(=O)O)cc1
N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C3N(C(=O)CNC2CCCCCC2)CCC3
cyclopentyl hydrogen carbonate	O=C(O)OC1CCCC1
[4-amino-2-(cyclohexylamino)-1,3-thiazol-5-yl](pyridin-3-yl)methanone	O=C(c1sc(nc1N)NC2CCCCC2)c3cccnc3
2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	Oc4c(c1ccccc1)cccc4c3nc2cc(ccc2n3)C(=[N@H])N
6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE	Clc1c(cc2c(c1)nc(c2)c4cccc(c3ccccc3)c4O)\C(=[NH2+])N
N-(4-CARBAMIMIDOYL-PHENYL)-2-HYDROXY-BENZAMIDE	O=C(c1ccccc1O)Nc2ccc(C(=[N@H])N)cc2
1-(O-CARBOXY-PHENYLAMINO)-1-DEOXY-D-RIBULOSE-5-PHOSPHATE	O=P(O)(O)OCC(O)C(O)C(O)CNc1ccccc1C(=O)O
N-[(2S)-2-amino-3-phenylpropyl]-L-methionine	O=C(O)C(NCC(N)Cc1ccccc1)CCSC
(9Z,11E,13S)-13-HYDROXYOCTADECA-9,11-DIENOIC ACID	O=C(O)CCCCCCC/C=C\C=C\C(O)CCCCC
13(R)-HYDROPEROXY-9(Z),11(E)-OCTADECADIENOIC ACID	O=C(O)CCCCCCC/C=C\C=C\C(OO)CCCCC
13(S)-HYDROPEROXY-9(Z),11(E)-OCTADECADIENOIC ACID	O=C(O)CCCCCCC/C=C\C=C\C(OO)CCCCC
N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	O=C(NCc1ccc(C(=[N@H])N)cc1)C3N(C(=O)CNC2CCCCCCC2)CCC3
benzene-1,3,5-triol	Oc1cc(O)cc(O)c1
S-2,3-DIHYDRO-5-GLYCIN-2-YL-ISOXAZOL-3-YL-CYSTEINE	O=C(O)C(C=1ONC(SCC(N)C(=O)O)C=1)N
2-nitrophenyl beta-D-galactopyranoside	[O-][N+](=O)c2c(OC1OC(C(O)C(O)C1O)CO)cccc2
4-nitrophenyl beta-D-galactopyranoside	[O-][N+](=O)c2ccc(OC1OC(C(O)C(O)C1O)CO)cc2
2-[BIS-(2-HYDROXY-ETHYL)-AMINO]-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	OCCN(C(CO)(CO)CO)CCO
2-amino-3,5-dimethylbenzoic acid	O=C(O)c1cc(cc(c1N)C)C
2-(2-chloropyridin-4-yl)-4-methyl-1H-isoindole-1,3(2H)-dione	Clc1nccc(c1)N3C(=O)c2cccc(c2C3=O)C
2-amino-4,5-dimethoxybenzoic acid	O=C(O)c1c(cc(OC)c(OC)c1)N
N-[(1R,3R)-3-hydroxy-1-(hydroxymethyl)-3-phenylpropyl]tetradecanamide	O=C(NC(CC(O)c1ccccc1)CO)CCCCCCCCCCCCC
5-bromofuran-2-carboxylic acid	O=C(O)c1oc(Br)cc1
4-(4-methylpiperazin-1-yl)benzoic acid	O=C(O)c1ccc(cc1)N2CCN(C)CC2
(2S)-2-methyl-3-oxooctadecanoic acid	O=C(CCCCCCCCCCCCCCC)C(C(=O)O)C
3,5-dioxoicosanoic acid	O=C(CC(=O)CC(=O)O)CCCCCCCCCCCCCCC
N-(3-(AMINOMETHYL)BENZYL)ACETAMIDINE	[N@H]=C(NCc1cccc(c1)CN)C
3-methyl-6-(pyrrolidin-1-ylsulfonyl)-3,4-dihydroquinazolin-2(1H)-one	O=S(=O)(c2cc1c(NC(=O)N(C)C1)cc2)N3CCCC3
METHYL(E)-OCTADEC-9-ENOATE	CCCCCCCC/C=C/CCCCCCCC(=O)OC
6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE	O=CC(CCCCC(=[N@H])N)C1CCCC1O
3-(2-MERCAPTO-ACETYLAMINO)-4-OXO-PENTANOIC ACID	O=C(C(NC(=O)CS)CC(=O)O)C
2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID	O=C(O)c1cc(ccc1O)S(=O)(=O)NCCS
2-(4-acetylphenyl)-4-methyl-1H-isoindole-1,3(2H)-dione	O=C(c1ccc(cc1)N3C(=O)c2cccc(c2C3=O)C)C
6-bromo-3-methyl-3,4-dihydroquinazolin-2(1H)-one	Brc1ccc2NC(=O)N(Cc2c1)C
1-BENZYL-4-({[(1E)-2,2,2-TRICHLOROETHANIMIDOYL]OXY}METHYL)PYRIDINIUM	ClC(Cl)(Cl)C(OCc1cc[n+](cc1)Cc2ccccc2)=[N@H]
6-(2,9-Diazaspiro[5.5]undecan-9-yl)-9H-purine	n4c1c(ncnc1N3CCC2(CCCNC2)CC3)nc4
D-galactaro-1,5-lactone	O=C(O)C1OC(=O)C(O)C(O)C1O
(2R)-2,3-dihydro-1,4-benzodioxine-2-carboxylic acid	O=C(O)C1Oc2ccccc2OC1
POLYETHYLENE GLYCOL (N=34)	O(CCOCCO)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC
2-chloro-3'-fluoro-3-[(E)-(hydroxyimino)methyl]biphenyl-4,4'-diol	Clc2c(c(O)ccc2c1cc(F)c(O)cc1)\C=N\O
7-hydroxy-2-(4-methoxyphenyl)-4H-chromen-4-one	O=C1c3c(OC(=C1)c2ccc(OC)cc2)cc(O)cc3
1-{4-[(2-fluoro-6-methoxy-3'-nitrobiphenyl-3-yl)methyl]phenyl}urea	O=N(=O)c3cccc(c1c(F)c(ccc1OC)Cc2ccc(NC(=O)N)cc2)c3
(3S)-3-methyl-1,2,3,4-tetrahydroquinoline-8-sulfonic acid	O=S(=O)(O)c1cccc2c1NCC(C2)C
2-(3,4-dihydroxyphenyl)-7-hydroxy-4H-chromen-4-one	O=C1c3c(OC(=C1)c2ccc(O)c(O)c2)cc(O)cc3
2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID	O=C(C1=CC=CC(O)C1C(=O)O)CCC(=O)O
PANTOTHENYL-AMINOETHANOL-ACETATE PIVALIC ACID	O=C(NCCC(=O)NCCOC(=O)C)C(O)C(COC(=O)C(C)(C)C)(C)C
N-hydroxycytidine 5'-(dihydrogen phosphate)	O=P(O)(O)OCC1OC(N2C=CC(=NC2=O)NO)C(O)C1O
N-((E,2S,3R)-1,3-DIHYDROXYOCTADEC-4-EN-2-YL)PALMITAMIDE	O=C(NC(CO)C(O)/C=C/CCCCCCCCCCCCC)CCCCCCCCCCCCCCC
HEXANE-1,6-DIAMINE	NCCCCCCN
N-(16-Carboxyhexadecanoyl)-L-glutamic acid	O=C(NC(C(=O)O)CCC(=O)O)CCCCCCCCCCCCCCC(=O)O
N-[(1R,3R)-3-hydroxy-1-(hydroxymethyl)-3-phenylpropyl]hexadecanamide	O=C(NC(CC(O)c1ccccc1)CO)CCCCCCCCCCCCCCC
N-[4-(4-OXO-3,4-DIHYDROQUINAZOLIN-2-YL)PHENYL]THIOPHENE-2-CARBOXAMIDE	O=C(Nc3ccc(C2=Nc1ccccc1C(=O)N2)cc3)c4sccc4
[4-(4-chlorophenyl)piperazin-1-yl](morpholin-4-yl)methanone	O=C(N2CCN(c1ccc(Cl)cc1)CC2)N3CCOCC3
4-(2,4-dimethyl-1,3-thiazol-5-yl)-N-(3-nitrophenyl)pyrimidin-2-amine	[O-][N+](=O)c1cccc(c1)Nc3nc(c2sc(nc2C)C)ccn3
(ethylsulfanyl)benzene	ethyl
2,3-dihydro-1H-indene	c1cccc2c1CCC2
(methylsulfanyl)benzene	CSc1ccccc1
2-(3,4-dihydroxyphenyl)-4H-chromen-4-one	O=C1c3c(OC(=C1)c2ccc(O)c(O)c2)cccc3
N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide	O=C(NCc1cccc(Cl)c1)C2N(C(=O)CCC(C)C)CCC2
3-[3-(3,5-dimethyl-1H-pyrazol-4-yl)propoxy]-4-fluorobenzoic acid	O=C(O)c2cc(OCCCc1c(nnc1C)C)c(F)cc2
16-hydroxyhexadecanoic acid	O=C(O)CCCCCCCCCCCCCCCO
(2S,3S,4R,5S)-2-(4-methoxyphenyl)-1,5-dimethylpyrrolidine-3,4-diol	OC2C(c1ccc(OC)cc1)N(C)C(C)C2O
2-PHENYLAMINO-ETHANESULFONIC ACID	O=S(=O)(O)CCNc1ccccc1
BENZOYL-FORMIC ACID	O=C(C(=O)O)c1ccccc1
4-CHLORO-BENZOIC ACID	O=C(O)c1ccc(Cl)cc1
4-(4-HYDROXY-3-ISOPROPYLPHENYLTHIO)-2-ISOPROPYLPHENOL	S(c1ccc(O)c(c1)C(C)C)c2cc(c(O)cc2)C(C)C
N-[(naphthalen-2-ylamino)(oxo)acetyl]-beta-D-glucopyranosylamine	O=C(NC1OC(C(O)C(O)C1O)CO)C(=O)Nc3cc2ccccc2cc3
2-benzylbenzoic acid	O=C(O)c1ccccc1Cc2ccccc2
N-(2,6-diethylphenyl)-N'-(N-methylcarbamimidoyl)urea	O=C(Nc1c(cccc1CC)CC)NC(=N)NC
8-methoxyphenanthro[3,4-d][1,3]dioxole-5,6-dicarboxylic acid	O=C(O)c3c1c(cc4c(c1c2OCOc2c3)cccc4OC)C(=O)O
1.7.6 5-cyclododecyloxy-N,N-dimethyl-pentan-1-amine	O(CCCCCN(C)C)C1CCCCCCCCCCC1
(3S,4S)-4-amino-2,6-dimethylhept-1-en-3-ol	OC(C(=C)\C)C(N)CC(C)C
2-[(2-phenoxyethyl)sulfanyl]-1H-benzimidazole	n2c1ccccc1nc2SCCOc3ccccc3
(1R,2S)-cyclopentane-1,2-diol	OC1CCCC1O
2-methylnaphthalene-1,4-diol	Oc2c1ccccc1c(O)c(c2)C
1-((2-HYDROXYETHOXY)METHYL)-5-(PHENYLTHIO)PYRIMIDINE-2,4(1H,3H)-DIONE	O=C2C(Sc1ccccc1)=CN(C(=O)N2)COCCO
PYOCHELIN FE(III)	CN1[C@H]2CS[C@@H]1[C@H]3CSC(=N3)c4ccccc4O[Fe]OC2=O
N-{4-[(E)-2-(4-hydroxy-3,5-dimethylphenyl)ethenyl]phenyl}propanamide	O=C(Nc1ccc(cc1)\C=C\c2cc(c(O)c(c2)C)C)CC
N-((E,2S,3R)-1,3-DIHYDROXYOCTADEC-4-EN-2-YL)STEARAMIDE	O=C(NC(CO)C(O)/C=C/CCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC
7-chloro-10-methyl-11H-benzo[g]pyrido[4,3-b]indol-3-ol	Clc4ncc(c3c4c2c(c1ccc(O)cc1cc2)n3)C
(2R)-2-hydroxy-3-(phosphonooxy)propyl (9Z,12Z)-octadeca-9,12-dienoate	O=P(OCC(O)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(O)O
1H-benzo[de]isoquinoline-1,3(2H)-dione	O=C2c1c3c(ccc1)cccc3C(=O)N2
3-[(4-carboxybenzyl)sulfamoyl]thiophene-2-carboxylic acid	O=S(=O)(c1c(scc1)C(=O)O)NCc2ccc(C(=O)O)cc2
Trioxacarcin A analogue, bound form	O=C(C)C1(O)C(O)CC(OC1C)OC57Oc2c(c(cc4c2c(O)c3C(=O)CCCc3c4OC)C)C6OC(OC56)(C(OC)OC)C7(O)C
PROPIONYL COENZYME A	CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(C1OP(O)(=O)O)O)[N+]=2C=NC=3C=2N=CNC=3N
1-AMINOCYCLOBUTANECARBOXLIC ACID	O=C(O)C1(N)CCC1
(2S)-4-(BETA-ALANYLAMINO)-2-AMINOBUTANOIC ACID	O=C(O)C(N)CCNC(=O)CCN
4-{2-[(3-NITROBENZOYL)AMINO]PHENOXY}PHTHALIC ACID	[O-][N+](=O)c1cccc(c1)C(=O)Nc3ccccc3Oc2ccc(C(=O)O)c(C(=O)O)c2
4-{2,4-BIS[(3-NITROBENZOYL)AMINO]PHENOXY}PHTHALIC ACID	[O-][N+](=O)c1cccc(c1)C(=O)Nc3ccc(Oc2ccc(C(=O)O)c(C(=O)O)c2)c(c3)NC(=O)c4cccc([N+]([O-])=O)c4
3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE	Fc3cc(c2cc1ccc(O)cc1c(C#N)c2)ccc3O
N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE	O=C(N(C)C)c3cc(c2nncc2c1ccccc1)cn3
11-chloro-8-methyl-7H-benzo[e]pyrido[4,3-b]indol-3-ol	Clc4ncc(c3c4c1c(ccc2cc(O)ccc12)n3)C
[(1R)-1-amino-5-carbamimidamidopentyl]phosphonic acid	O=P(O)(O)C(N)CCCCNC(=[N@H])N
1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide	O=C(NCc1cccc(Cl)c1)C2N(C(=O)C(N)CC)CCC2
5-(aminooxy)-L-norvaline	O=C(O)C(N)CCCON
2-[(4-hydroxybenzyl)amino]-5-nitrobenzamide	[O-][N+](=O)c2ccc(NCc1ccc(O)cc1)c(C(=O)N)c2
4-(2-oxo-1,3-oxazolidin-3-yl)benzamide	O=C(c2ccc(N1C(=O)OCC1)cc2)N
4-(2-fluorophenyl)-1,3-thiazol-2(3H)-one	O=C2SC=C(c1c(F)cccc1)N2
1-AMINOCYCLOPROPANECARBOXYLIC ACID	O=C(O)C1(N)CC1
(1Z)-2-HYDROXY-3-OXOHEX-1-EN-1-YL DIHYDROGEN PHOSPHATE	O=P(O\C=C(/O)C(=O)CCC)(O)O
2,4-BIS{[4-(N-CYCLOPENTYLDIAMINOMETHYL)PHENYL]}FURAN	o3c(cc(c1ccc(cc1)C(N)NC2CCCC2)c3)c4ccc(cc4)C(N)NC5CCCC5
(2S)-2,3-dihydroxypropyl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate	O=C(OCC(O)CO)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
3-AMINO-3-BENZYL-[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE	O=CC2N1C(=O)C(N)(CCN1CC2)Cc3ccccc3
6,7-dihydrothieno[3,2-c]pyridin-5(4H)-yl(1H-imidazol-1-yl)methanone	O=C(N2CCc1sccc1C2)n3ccnc3
ALLANTOATE ION	O=C(NC(C([O-])=O)NC(=O)N)N
2,6-DIAMINOPURINE NUCLEOTIDE	O=P(O)(O)OCC3OC(n2cnc1c(nc(nc12)N)N)CC3O
beta-D-fructofuranosyl 6-O-decanoyl-alpha-D-glucopyranoside	O=C(OCC2OC(OC1(OC(C(O)C1O)CO)CO)C(O)C(O)C2O)CCCCCCCCC
1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea	O=C(Nc1ccccc1)Nc3cc(nn3c2cc(ccc2)N)C(C)(C)C
(2R,2'R)-3,3'-oxydipropane-1,2-diol	OCC(O)COCC(O)CO
N-{[3-(2H-indazol-5-yl)phenyl]sulfonyl}-L-threoninamide	O=C(NS(=O)(=O)c3cccc(c1cc2cnnc2cc1)c3)C(N)C(O)C
4-HYDROXY-N'-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE	O=C(c1ccc(O)cc1)NNCc2ccc(cc2)C(C)C
trans-4-{[4-(1H-indazol-1-yl)pyrimidin-2-yl]amino}cyclohexanol	OC4CCC(Nc1nccc(n1)n3ncc2ccccc23)CC4
1-hydroxy-6-(4-hydroxybenzyl)-4-methylpyridin-2(1H)-one	O=C1C=C(C=C(N1O)Cc2ccc(O)cc2)C
[2-(PYRIDIN-2-YLAMINO)ETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)	O=P(O)(O)C(CNc1ncccc1)P(=O)(O)O
6-benzyl-1-hydroxy-4-methylpyridin-2(1H)-one	O=C1C=C(C=C(N1O)Cc2ccccc2)C
1-(3,4,5-trimethoxybenzyl)-L-proline	O=C(O)C2N(Cc1cc(OC)c(OC)c(OC)c1)CCC2
2-hydroxyethyl 6-deoxy-beta-L-galactopyranoside	O(CCO)C1OC(C(O)C(O)C1O)C
N-(3,3-dimethyl-3,4-dihydroisoquinolin-1-yl)-L-phenylalanine	O=C(O)C(NC1=NC(Cc2ccccc12)(C)C)Cc3ccccc3
1-(4-CHLOROPHENYL)-1H-IMIDAZOLE	Clc1ccc(cc1)n2ccnc2
(R)-ethoxy(pyrazolo[1,5-a]pyridin-3-yl)methanol	n1cc(c2ccccn12)C(O)OCC
4-bromo-N-(5-methyl-1H-pyrazol-3-yl)benzamide	O=C(Nc1nnc(c1)C)c2ccc(Br)cc2
FE(8)-S(7) CLUSTER, OXIDIZED	[Fe]|1|2S|3[Fe]S|1[Fe]S|2[Fe]|3[S]45[Fe]|6S|7[Fe]|8S|6[Fe]4S|8[Fe]5|7
(2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE	O=C(Nc1ccncc1)C(c2ccccc2)CC
(3S)-3-hydroxy-3-methyl-5-sulfanylpentanoic acid	O=C(O)CC(O)(C)CCS
COPROPORPHYRINOGEN I	O=C(O)CCc1c(c5nc1Cc2c(c(c(n2)Cc3nc(c(c3C)CCC(=O)O)Cc4nc(c(c4C)CCC(=O)O)C5)CCC(=O)O)C)C
4,4'-{3-[(4-hydroxyphenyl)amino]-1H-pyrazole-4,5-diyl}diphenol	Oc4ccc(c1c(c(nn1)Nc2ccc(O)cc2)c3ccc(O)cc3)cc4
COPPER ION, 1 WATER COORDINATED	O|[Cu++]
3-amino-2-hydroxybenzoic acid	O=C(O)c1cccc(N)c1O
1-[(4-fluorophenyl)sulfonyl]-2-methyl-1H-benzimidazole	Fc1ccc(cc1)S(=O)(=O)n2c3ccccc3nc2C
4-hydroxy-3-methoxy-5-nitrobenzoic acid	[O-][N+](=O)c1cc(cc(OC)c1O)C(=O)O
(4R)-ISONICOTINIC-ACETYL-NICOTINAMIDE-ADENINE DINUCLEOTIDE	NC(=O)C1=CN(C=C[C@H]1C(=O)c2ccncc2)[C@@H]3O[C@H](CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H]([C@H](O[P](O)(O)=O)[C@@H]4O)n5cnc6c(N)ncnc56)[C@@H](O)[C@H]3O
(1R)-1-phenylprop-2-yn-1-ol	C(#C)C(O)c1ccccc1
N1-deaza-adenosine-5'-monophosphate	O=P(O)(O)OCC3OC(n2cnc1c(N)ccnc12)C(O)C3O
5-(trifluoromethyl)-1H-imidazole	FC(F)(F)c1cncn1
1,10-dihydropyrrolo[2,3-a]carbazole-3-carbaldehyde	O=Cc4c3c(c2nc1c(cccc1)c2cc3)nc4
1-O-decanoyl-beta-D-tagatofuranosyl beta-D-allopyranoside	O=C(OCC2(OC1OC(CO)C(O)C(O)C1O)OC(C(O)C2O)CO)CCCCCCCCC
2-(1H-pyrazol-1-yl)ethanol	OCCn1nccc1
5-methyl-3-(trifluoromethyl)-1H-pyrazole	FC(F)(F)c1nnc(c1)C
1-(3-methylphenyl)-5-phenyl-1H-pyrazole-3-carboxylic acid	O=C(O)c2nn(c1cccc(c1)C)c(c2)c3ccccc3
(2R,3S)-3-amino-4-cyclopropyl-2-hydroxybutanamide	O=C(N)C(O)C(N)CC1CC1
(2S)-2,9-diaminononanoic acid	O=C(O)C(N)CCCCCCCN
6-[3-(carboxymethoxy)-5-fluorophenyl]pyridine-3-carboxylic acid	O=C(O)COc2cc(c1ncc(cc1)C(=O)O)cc(F)c2
N-(4-nitrophenyl)cyclopropanecarboxamide	O=C(Nc1ccc([N+]([O-])=O)cc1)C2CC2
[(5R)-5-amino-5-carboxy-8-hydroxyoctyl](trihydroxy)borate(1-)	O=C(O)C(N)(CCCC[B-](O)(O)O)CCCO
(3S,6S)-3-benzyl-6-(4-hydroxybenzyl)piperazine-2,5-dione	O=C1NC(C(=O)NC1Cc2ccccc2)Cc3ccc(O)cc3
5'-O-(L-alpha-glutamylsulfamoyl)guanosine	O=C(O)CCC(N)C(=O)NS(=O)(=O)OCC3OC(n1cnc2c1NC(=NC2=O)N)C(O)C3O
5'-O-(L-alpha-glutamylsulfamoyl)inosine	O=C(O)CCC(N)C(=O)NS(=O)(=O)OCC3OC(n2cnc1c2N=CNC1=O)C(O)C3O
9-hydroxy-5,11-dimethyl-4,6-dihydro-1H-pyrido[4,3-b]carbazol-1-one	O=C1N=CCc2c1c(c4c(c2C)nc3ccc(O)cc34)C
(1S)-2-HYDROXY-1-[(NONANOYLOXY)METHYL]ETHYL MYRISTATE	O=C(OC(COC(=O)CCCCCCCC)CO)CCCCCCCCCCCCC
(5S)-3-(4-tert-butylbenzyl)-5-(propan-2-yl)imidazolidine-2,4-dione	O=C1N(C(=O)NC1C(C)C)Cc2ccc(cc2)C(C)(C)C
3-(3-tert-butylphenyl)pyridin-2(1H)-one	O=C2C(c1cc(ccc1)C(C)(C)C)=CC=CN2
2-(1-methyl-1H-indol-3-yl)ethanamine	c1cccc2c1c(cn2C)CCN
1-(4-acetyl-6-pyridin-3-yl-1H-benzimidazol-2-yl)-3-ethylurea	O=C(c2cc(cc1c2nc(n1)NC(=O)NCC)c3cccnc3)C
3,5-bis[2-(6-amino-4-methylpyridin-2-yl)ethyl]benzonitrile	N#Cc1cc(cc(c1)CCc2nc(N)cc(c2)C)CCc3nc(N)cc(c3)C
(11Z,13Z)-hexadeca-11,13-dien-1-ol	OCCCCCCCCCC/C=C\C=C/CC
(11Z,13Z)-hexadeca-11,13-dienal	O=CCCCCCCCCC/C=C\C=C/CC
1H-indole-6-carboxylic acid	O=C(O)c1ccc2c(c1)ncc2
2-methyl-N-(2-sulfanylethyl)-1-benzofuran-3-carboxamide	O=C(c1c2ccccc2oc1C)NCCS
1-tert-butyl-3-(3-chlorophenoxy)-1H-pyrazolo[3,4-d]pyrimidin-4-amine	Clc3cccc(Oc2nn(c1ncnc(c12)N)C(C)(C)C)c3
1-[4-(trifluoromethoxy)phenyl]methanamine	FC(F)(F)Oc1ccc(cc1)CN
N-(2-oxo-2,3-dihydro-1H-benzimidazol-5-yl)glycinamide	O=C(Nc1ccc2c(c1)NC(=O)N2)CN
1-methyl-5-phenyl-1H-pyrazole-4-carboxylic acid	O=C(O)c2c(c1ccccc1)n(nc2)C
3-[[2-(trifluoromethyl)phenyl]methylamino]pyrazine-2-carboxamide	NC(=O)c1nccnc1NCc2ccccc2C(F)(F)F
1-[7-amino-1-(pyrimidin-2-yl)indolizin-3-yl]ethanone	O=C(c1cc(c2cc(ccn12)N)c3ncccn3)C
5-(2,4-DIFLUOROPHENYL)-2-HYDROXY-BENZOIC ACID	O=C(O)c1cc(ccc1O)c2ccc(F)cc2F
2,2'-[(4-chlorobenzene-1,2-diyl)bis(oxy)]bis(5-nitrobenzonitrile)	Clc3cc(Oc1ccc([N+]([O-])=O)cc1C#N)c(Oc2ccc([N+]([O-])=O)cc2C#N)cc3
4-S-(6-O-phosphono-alpha-L-idopyranosyl)-4-thio-beta-D-glucopyranose	O=P(O)(O)OCC2OC(SC1C(OC(O)C(O)C1O)CO)C(O)C(O)C2O
N3Phe-Leu-Leu-Phe(4-NH2CH2)-methyl vinyl sulfone, bound form	NCc1ccc(CC(CCS(C)(=O)=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)/N=[N+]=[N-])cc1
(2S)-2-azido-3-phenylpropanoic acid	O=C(O)C(/N=[N+]=[N-])Cc1ccccc1
(2S)-1-[4-(aminomethyl)phenyl]-4-(methylsulfonyl)butan-2-amine	O=S(=O)(C)CCC(N)Cc1ccc(cc1)CN
(3S,6S)-3,6-bis(4-hydroxybenzyl)piperazin-2-one	O=C2NC(Cc1ccc(O)cc1)CNC2Cc3ccc(O)cc3
HMB-Val-Ser-Phe(4-NH2CH2)-methyl vinyl sulfone, bound form	O=S(=O)(C)CCC(NC(=O)C(NC(=O)C(NC(=O)c1cccc(O)c1C)C(C)C)CO)Cc2ccc(cc2)CN
4-(aminomethyl)-D-phenylalanine	O=C(O)C(N)Cc1ccc(cc1)CN
(3S,6S)-3-(4-hydroxybenzyl)-6-methylpiperazine-2,5-dione	O=C1NC(C(=O)NC1C)Cc2ccc(O)cc2
2-phenyl-N-(4-sulfamoylbenzyl)acetamide	O=S(=O)(N)c1ccc(cc1)CNC(=O)Cc2ccccc2
4-[2-benzyl-7-(trifluoromethyl)-2H-indazol-3-yl]benzene-1,3-diol	FC(F)(F)c2cccc3c(c1ccc(O)cc1O)n(nc23)Cc4ccccc4
2,6-dideoxy-4-O-methyl-alpha-D-galactopyranose	O(C1C(OC(O)CC1O)C)C
4-[2-ethyl-7-(trifluoromethyl)-2H-indazol-3-yl]benzene-1,3-diol	FC(F)(F)c2cccc3c(c1ccc(O)cc1O)n(nc23)CC
N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)-2-(thiophen-2-yl)acetamide	O=S(=O)(c1nnc(s1)NC(=O)Cc2sccc2)N
